a2ps 4.14-7
abiword 3.0.1-7
adb android.5.0.2_r1-1
adb-sync-git r16.012b326-1
adminer 4.2.3-1
aisleriot 3.20.2-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
alsi 0.4.7-1
android-sdk r24.0.2-1
android-udev 20160408-1
animata-svn 63-1
apache 2.4.20-1
apacman 2.3-1
arch-install-scripts 15-1
arch-wiki-lite 20160308-2
archassault-keyring 20140202-3
archassault-mirrorlist 20150414-1
arduino 1.0.6-1
asciiquarium 1.1-4
aseprite 1.1.1-3
atool 0.39.0-4
audacity 2.1.2-3
audio-convert 0.3.1.1-7
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32-2
banner 1.3.2-5
bash 4.3.042-4
bash-completion 2.3-4
bc 1.06.95-1
bind-tools 9.10.4-1
binutils 2.26-4
bison 3.0.4-2
blender 17:2.77.a-2
bluefish 2.2.8-2
boost 1.60.0-4
bootinfoscript 0.61-1
breeze 5.6.4-1
breeze-gtk 5.6.4-1
bzip2 1.0.6-5
cabal-install 1.22.9.0-3
calc 2.12.5.3-1
calcurse 4.1.0-1
catfish 1.4.2-1
cdrdao 1.2.3-8
chef-dk 0.6.0-1
clearlooks-phenix-gtk-theme 6.0.3-2
cmus 2.7.1-8
colordiff 1.0.16-1
conky 1.10.2-1
coreutils 8.25-1
crda 3.18-1
cronie 1.5.0-1
cryptsetup 1.7.1-1
cups 2.1.3-2
cups-pdf 2.6.1-2
ddrescue 1.21-1
device-mapper 2.02.150-1
dhcpcd 6.10.2-1
diffutils 3.3-2
dmenu2 0.2-1
dmidecode 3.0-1
docker 1:1.11.1-1
dosfstools 3.0.28-1
drush 6.3.0-1
dzen2 0.9.5git-6
e2fsprogs 1.42.13-1
elementary-xfce-icons 0.6-1
enscript 1.6.6-2
exfat-utils 1.2.3-2
exiftran 2.07-6
exo 0.10.7-2
expect 5.45-4
faenza-icon-theme 1.3.1-4
faience-icon-theme 0.5.1-3
fakechroot 2.17.2-1
fakeroot 1.20.2-1
feh 2.15.3-1
ffmpegthumbnailer 2.1.1-1
figlet 2.2.5-2
file 5.26-2
file-roller 3.20.2-1
filesystem 2015.09-1
filezilla 3.17.0.1-1
findutils 4.6.0-1
fish 2.2.0-5
flashplugin 11.2.202.616-2
flex 2.6.0-3
flpsed 0.7.0-1
foomatic-db 3:20160416-1
foomatic-db-engine 4:4.0.12-2
foomatic-db-nonfree 3:20160416-1
foremost 1.5.7-3
fritzing 0.9.2b-1
fuseiso 20070708-6
galculator 2.1.4-1
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.3-1
gcal 4-1
gcc 6.1.1-1
gcc-libs 6.1.1-1
geany 1.27-1
geany-plugins 1.27-2
gedit 3.20.2-1
geeqie-git 20140720-1
gettext 0.19.7-1
ghc 7.10.3-1
ghostscript 9.19-1
gimp 2.8.16-1
gimp-elsamuko-plugins 0.1-5
gimp-extras 2.0.1-4
gimp-plugin-bimp 1.16-1
gimp-plugin-copy-move 0.1-5
gimp-plugin-depthmap 0.1-5
gimp-plugin-eaw-sharpen 0.1-5
gimp-plugin-facedetect 0.1-5
gimp-plugin-get-curves 0.1-5
gimp-plugin-gmic 1.7.1-1
gimp-plugin-heatmap 0.1-5
gimp-plugin-hsv-analysis 0.1-5
gimp-plugin-lab-analysis 0.1-5
gimp-plugin-octave 0.1-5
gimp-plugin-temperature 0.1-5
gimpfx-foundry 2.6_1-2
git 2.8.2-1
gksu 2.0.2-5
glc 0.5.8-4
glibc 2.23-2
gnash-git 0.8.11.r22353.g051aa9c-1
gnome-defaults-list 3.9.90-10
gnome-font-viewer 3.20.0-1
gnome-screenruler 0.9.6-3
gnu-netcat 0.7.1-5
go-ipfs-git 0.3.7.r184.gc6166e5-1
google-chrome 48.0.2564.82-1
gparted 0.26.0-1
gpicview-gtk2-git 20120806-1
gptfdisk 1.0.1-2
graphicsmagick 1.3.23-2
grep 2.25-1
groff 1.22.3-6
grub 1:2.02.beta2-6
grub-customizer 4.0.6-2
gsfonts 20150811-1
gst-libav 1.8.1-1
gst-plugins-bad 1.8.1-1
gst-plugins-base 1.8.1-1
gst-plugins-good 1.8.1-1
gst-plugins-ugly 1.8.1-1
gstreamer0.10-bad-plugins 0.10.23-15
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good-plugins 0.10.31-10
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-theme-arc 20160331-1
gtk-xfce-engine 2.10.1-1
guake-git 0.7.2.5.g2272a57-1
gucharmap 8.0.0-1
gutenprint 5.2.11-3
gv 3.7.4-3
gvfs 1.28.2-1
gvfs-afc 1.28.2-1
gvfs-gphoto2 1.28.2-1
gvfs-smb 1.28.2-1
gx-go 1.0.0.r0.ge5258e8-1
