a2ps 4.14-7
a52dec 0.7.4-8
aalib 1.4rc5-12
abiword 3.0.1-7
acl 2.2.52-2
adwaita-icon-theme 3.20-2
agg 2.5-8
aiksaurus 1.2.1-5
aisleriot 3.20.2-1
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
android-udev 20160408-1
apache 2.4.20-1
apr 1.5.2-1
apr-util 1.5.4-2
arch-install-scripts 15-1
arch-wiki-lite 20160308-2
archlinux-keyring 20160402-1
asciiquarium 1.1-4
aspell 0.60.6.1-5
at-spi2-atk 2.20.1-1
at-spi2-core 2.20.1-1
atk 2.20.0-1
atkmm 2.24.2-2
atool 0.39.0-4
attica-qt4 0.4.2-3
attica-qt5 5.21.0-1
attr 2.4.47-1
audacity 2.1.2-3
audio-convert 0.3.1.1-7
autoconf 2.69-2
autoconf-archive 1:2016.03.20-4
automake 1.15-1
automoc4 0.9.88-8
avahi 0.6.32-2
avr-binutils 2.26-1
avr-gcc 5.3.0-2
avr-libc 2.0.0-1
avrdude 1:6.3-1
babl 0.1.14-1
banner 1.3.2-5
bash 4.3.042-4
bash-completion 2.3-4
bc 1.06.95-1
bind-tools 9.10.4-1
binutils 2.26-4
bison 3.0.4-2
blas 3.6.0-5
blender 17:2.77.a-2
blosc 1.8.1-1
bluefish 2.2.8-2
bluez-libs 5.39-1
boost 1.60.0-4
boost-libs 1.60.0-4
bower 1.7.9-1
breeze 5.6.4-1
breeze-gtk 5.6.4-1
breeze-icons 5.21.0-1
bridge-utils 1.5-2
btrfs-progs 4.5.1-1
bzip2 1.0.6-5
bzr 2.7.0-1
c-ares 1.11.0-1
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.23-3
ca-certificates-utils 20150402-1
cabal-install 1.22.9.0-3
cabextract 1.6-1
cairo 1.14.6-1
cairo-perl 1.106-1
cairomm 1.12.0-2
calc 2.12.5.3-1
calcurse 4.1.0-1
cantarell-fonts 1:0.0.24-1
catfish 1.4.2-1
cblas 3.6.0-5
cdparanoia 10.2-5
cdrdao 1.2.3-8
cdrkit 1.1.11-3
celt 0.11.3-2
chromaprint 1.3.1-1
cifs-utils 6.5-1
cimg 1.6.9-1
classpath 0.99-3
clucene 2.3.3.4-9
clutter 1.26.0-1
clutter-gtk 1.8.0-1
cmake 3.5.2-2
cmus 2.7.1-8
cogl 1.22.0+11+g81ab4a3-1
colord 1.3.2-2
colordiff 1.0.16-1
compositeproto 0.4.2-3
confuse 2.8-2
conky 1.10.2-1
containerd 0.1.0-1
coreutils 8.25-1
cpio 2.12-2
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.0-1
cryptsetup 1.7.1-1
ctpl 0.3.4-1
cups 2.1.3-2
cups-filters 1.8.3-2
cups-pdf 2.6.1-2
curl 7.48.0-1
cython2 0.24-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
ddrescue 1.21-1
desktop-file-utils 0.22-2
device-mapper 2.02.150-1
devil 1.7.8-22
dhcpcd 6.10.2-1
dialog 1:1.3_20160209-1
diffutils 3.3-2
dkms 2.2.0.3+git151023-10
dmidecode 3.0-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
docker 1:1.11.1-1
dosfstools 3.0.28-1
dotconf 1.3-4
dri2proto 2.8-2
dri3proto 1.0-1
dvgrab 3.5-6
dzen2 0.9.5git-6
e2fsprogs 1.42.13-1
elfutils 0.166-1
enca 1.18-1
enchant 1.6.0-7
enscript 1.6.6-2
etl 0.04.19-1
exfat-utils 1.2.3-2
exiv2 0.25-3
